id	category	phase	week	title	description	steps	time_mins	level	goal	success	frequency
P001	SELF	1	1	The Three Sentences	Each evening write exactly three sentences — no more — about your day.	1. Open your notebook at the end of the day|2. Write: What drained me today — one specific thing, not a general feeling|3. Write: What gave me even a small amount of energy today — however small|4. Write: What my body was doing that my words were not saying|5. Close the notebook. Do not analyse. Just notice.	5	1	Building the habit of self-observation without self-judgement	Three sentences written, honest, specific — not general	daily
P002	SELF	1	1	The Energy Map	For one full week track what gives and takes energy — then map it.	1. Keep a small notebook with you for 7 days|2. Every time you notice an energy shift — up or down — write: what were you doing, who were you with, what time was it|3. At the end of the week lay it all out|4. Look for patterns — not explanations yet, just patterns|5. Write three observations about what you see	20	2	Understanding your personal energy architecture	A completed week of notes and three written observations about the pattern	weekly
P003	SELF	1	2	The Instinct Log	Every day for two weeks, note one moment where you had an instinct and what you did with it.	1. At the end of each day, think back — was there a moment where you sensed something before you understood it?|2. Write: what the instinct was, what you did with it — followed it, ignored it, overrode it|3. After two weeks, review — what happened when you followed it versus when you did not|4. Write one honest sentence about what you notice	5	2	Rebuilding trust in your own perception	14 days of instinct notes and one honest summary sentence	daily
P004	SELF	1	1	Name the Feeling Precisely	Once a day, stop and name exactly what you are feeling — not good or bad but the precise word.	1. Set a phone reminder for a time you are usually at work|2. When it goes off, stop for 30 seconds|3. Ask: what am I actually feeling right now?|4. Do not accept fine or stressed — find the precise word. Frustrated. Overlooked. Cautiously hopeful. Flat.|5. Write it down. That is the whole task.	3	1	Emotional vocabulary and self-awareness	One precise feeling word written down each day — not a generic one	daily
P005	EXT	1	2	One Real Thing	Say one genuinely real thing to one of the two people you already identified as safe.	1. Choose one of your two people|2. Observe them for a day or two first — what are they working on, what did they say in a meeting, what do they seem to care about|3. Find one genuinely curious or real thing to say — not small talk|4. Say it. One sentence is enough.|5. Write afterward: what happened, how it felt	10	1	Rebuilding social presence through one small genuine moment	You said one real thing to one person and wrote what happened	as_needed
P006	SELF	1	3	The Fairness Inventory	Write an honest account of three times the system was genuinely unfair to you.	1. Find 30 minutes alone|2. Write three specific situations where you were treated unfairly — not your perception, situations where on reflection it was genuinely unjust|3. For each one write: what happened, what you did, what the outcome was, what you concluded about yourself as a result|4. Look at the conclusions — are they still running?|5. Write: which of these conclusions am I still living as if they are true?	30	3	Separating genuine external injustice from internalised self-judgement	Three written accounts plus a list of conclusions you drew and which ones are still active	weekly
P007	INST	1	2	Map the Real Structure	In your current workplace, spend one week quietly mapping who actually holds influence.	1. For one week observe — not participate, just observe|2. Notice: whose suggestions get adopted in meetings|3. Notice: who people go to informally when something needs doing|4. Notice: who speaks last and is listened to most carefully|5. Draw a simple map — not the org chart, the real one|6. Keep it private	15	2	Institutional literacy — reading the real operating system	A private written map of informal influence in your current workplace	weekly
P008	EXT	2	4	The One Sentence Contribution	In one meeting this week, contribute one sentence. Not a speech. One sentence.	1. Choose a meeting where you currently say nothing|2. Prepare one genuine observation or question in advance|3. Find a natural moment — do not force it|4. Say the one sentence|5. Stop. Do not over-explain or follow up immediately.|6. Write afterward: what happened in the room after you spoke	10	2	Visibility tolerance — being present without performing	You contributed one sentence in a meeting and noticed what happened	weekly
P009	SELF	2	5	The Values List	Write your actual values — not aspirational ones, real ones evidenced by your behaviour.	1. Get 30 minutes alone|2. Write: what have I actually chosen when it cost me something?|3. Each answer is a real value — not what you wish you valued but what you demonstrably do|4. Write at least five|5. For each one write the specific situation that proved it|6. This list is your internal anchor — keep it	30	3	Building a specific, evidence-based internal anchor	A list of at least five values each with a specific real situation that evidences it	as_needed
P010	DOM	2	6	The Stillness Practice	Practise physical stillness in low-stakes moments so it is available in high-stakes ones.	1. Choose one situation per day where you would normally fidget, look away or physically shrink — a difficult conversation, a moment of mild tension|2. Consciously choose stillness — feet flat, hands still, eye contact held gently|3. Notice what it feels like from the inside|4. Notice what changes in the other person|5. Write one observation	5	2	Building physical presence as a genuine state not a performance	You practised conscious stillness in at least one moment per day and wrote one observation	daily
