week	phase	phase_name	title	focus	default_task_id	note
1	1	Orientation	Self-Observation Begins	Notice what drains and energises. No fixing yet.	P001	Three sentences every evening. That is all.
2	1	Orientation	Energy Mapping	Track where energy goes and comes from across a full week.	P002	Look for patterns not explanations.
3	1	Orientation	Instinct & Fairness	Start trusting your own data. Name what happened to you honestly.	P003	The instinct log and fairness inventory run together this week.
4	1	Orientation	Reading the Room	Map the real structure of your workplace. Not the org chart.	P007	Observe only. No action yet.
5	2	Foundations	Visibility Begins	One sentence in one meeting. That is the whole task.	P008	Prepare it before you go in. Say it. Stop.
6	2	Foundations	Stillness Practice	Physical stillness under pressure is trainable.	P010	One moment per day. Feet flat, hands still.
7	2	Foundations	Values — Real Ones	Build your internal anchor from evidence, not aspiration.	P009	What did you choose when it actually cost you something?
8	2	Foundations	Small Bets	Act on one instinct per week before you talk yourself out of it.	P011	Low stakes. Just prove to yourself you can do it.
9	2	Foundations	Anchor Under Pressure	Use your values list when something pulls you off centre.	P009	Return to the list. What does it say about this situation?
10	2	Foundations	Presence Walk	Walk into a difficult room deliberately. Occupy your actual space.	P012	Where you sit. How you move. This is physical and trainable.
11	3	Application	Rule Audit	Which rules are load-bearing. Which are discretionary.	P013	Understanding a system is not becoming it.
12	3	Application	The Non-Reaction	One provocation. Pause one second longer than natural.	P014	Respond to content not tone. Give them nothing to work with.
13	3	Application	Speaking With Authority	Say the important thing clearly and stop. No justification needed.	P008	One sentence. Then silence. Let it land.
14	3	Application	No-Fear Audit	Name what you are avoiding. Examine what you think will happen.	P015	What is the realistic probability. Could you survive it if it did.
15	3	Application	Integration	Everything from Phase 1 and 2 in a live situation.	P012	You have the tools. Use them together.
16	3	Application	Final Week	The no-fear audit one last time. What has shifted.	P015	Note what is different. This is your baseline going forward.
